"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "poisson", "moule", "Moule"
"récit", "produit", "poisson", "moule", "Moules"
"récit", "produit", "boisson", "boisson", "boissons"
"récit", "mets", "", "bouilli de bœuf au gratin", "bouilli de bœuf au gratin"
"récit", "ustensile", "", "casserole", "casserole"
"récit", "ustensile", "", "casserole", "casserole"
"récit", "ustensile", "", "casserole", "casserole"
"récit", "ustensile", "", "casserole", "casseroles"
"récit", "produit", "poisson", "coquillage", "coquillage"
"récit", "ingrédient", "poisson", "coquillages", "coquillages"
"récit", "ingrédient", "poisson", "moule", "coquilles des moules"
"récit", "", "", "", "déjeuner"
"récit", "", "", "", "déjeuner"
"récit", "", "", "", "déjeuner"
"récit", "", "", "", "déjeuner"
"récit", "ingrédient", "", "eau", "eau"
"récit", "ustensile", "", "eau", "eau"
"récit", "ustensile", "", "eau", "eaux"
"récit", "ustensile", "", "fourneau", "fourneau"
"récit", "mets", "", "friture", "fritures"
"récit", "mets", "", "haricots", "haricots"
"récit", "ingrédient", "éparco", "oignon", "l'oignon"
"récit", "ustensile", "", "marmite", "marmite"
"récit", "ustensile", "", "marmite", "marmite"
"récit", "mets", "", "met", "mets"
"récit", "produit", "poisson", "moule", "moule"
"récit", "produit", "poisson", "moule", "moule"
"récit", "ingrédient", "poisson", "moule", "moules"
"récit", "produit", "poisson", "moule", "moules"
"récit", "mets", "", "nourriture des bestiaux", "nourriture des bestiaux"
"récit", "mets", "", "omlette", "omelettes"
"récit", "ingrédient", "éparco", "persil", "persil"
"récit", "ingrédient", "éparco", "poivre", "poivre"
"récit", "mets", "", "potage", "pommes de terre"
"récit", "mets", "", "pot-au-feu", "pot-au-feu"
"récit", "mets", "", "potage de poireaux", "potage de poireaux"
"récit", "ustensile", "", "poêle", "poêle"
"récit", "ustensile", "", "poêle", "poêles"
"récit", "ustensile", "", "poêlon", "poêlon"
"récit", "ustensile", "", "poêlon", "poêlons"
"récit", "mets", "", "purée de pommes de terre", "purée de pommes de terre"
"récit", "mets", "", "rôti de mouton", "rôti de mouton"
"récit", "mets", "", "soupe aux choux", "soupe aux choux"
"récit", "ustensile", "", "ustensile", "ustensiles"
"récit", "ustensile", "", "ustensile de cuisine", "ustensiles de cuisine"
"récit", "ustensile", "", "ustensile de cuisine", "ustensiles de cuisine"
"récit", "ustensile", "", "ustensile en fer battu", "ustensiles en fer battu"
"questionnaire", "", "", "", "déjeuner"
"questionnaire", "", "", "", "déjeuner"
"questionnaire", "", "", "", "menu"
"industrie", "", "", "", "aliments"
"industrie", "", "", "", "assaisonnements"
"industrie", "", "", "", "bassine"
"industrie", "", "", "", "bassine"
"industrie", "", "", "", "bouillon des soupes"
"industrie", "", "", "", "burettes"
"industrie", "", "", "", "casserole"
"industrie", "", "", "", "casserole"
"industrie", "", "", "", "charbon"
