"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "éparco", "noix de muscade", " noix de muscade"
"récit", "ingrédient", "éparco", "aromate", "Aromate"
"récit", "mets", "", "mets assaisonné", "Mets assaisonné"
"récit", "mets", "", "ragoût", "Ragoût"
"récit", "ingrédient", "éparco", "aromate", "aromates"
"récit", "ingrédient", "éparco", "aromate", "aromates"
"récit", "ingrédient", "éparco", "aromate", "aromates "
"récit", "produit", "éparco", "giroflier", "bouton à fleur du giroflier"
"récit", "mets", "", "charbon", "charbon"
"récit", "ingrédient", "éparco", "clou de grirofle", "clou de girofle"
"récit", "mets", "", "alimentation", "cuisine"
"récit", "mets", "", "alimentation", "cuisine"
"récit", "", "", "", "eau"
"récit", "produit", "éparco", "laurier", "feuille du laurier"
"récit", "produit", "éparco", "muscadier", "fruit du muscadier"
"récit", "ustensile", "", "marmite", "la marmite"
"récit", "ingrédient", "légume", "légume", "légume"
"récit", "ingrédient", "légume", "légume", "légumes"
"récit", "mets", "", "met", "mets"
"récit", "ingrédient", "carné", "viande", "morceau de viande"
"récit", "produit", "éparco", "muscadier", "plante"
"récit", "produit", "éparco", "thym", "plante odoriférante"
"récit", "ustensile", "", "poêle", "poêle"
"récit", "mets", "", "ragout", "ragoût"
"récit", "mets", "", "ragoût", "ragoût"
"récit", "mets", "", "ragoût", "ragoût brûlé"
"récit", "", "", "", "repas"
"récit", "mets", "", "soupe", "soupe"
"récit", "mets", "", "alimentation", "table"
"récit", "ingrédient", "éparco", "thym", "thym"
"récit", "ingrédient", "carné", "viande", "viande découpée"
"questionnaire", "", "", "", " repas "
"questionnaire", "mets", "", "met", "mets"
"français", "", "", "", "marmite"
"français", "mets", "", "ragoût", "ragoût"
"français", "", "", "", " table"
"économie_domestique", "ingrédient", "éparco", "poireau", " poireau"
"économie_domestique", "ingrédient", "éparco", "thym", " thym"
"économie_domestique", "ingrédient", "éparco", "anis", "'anis"
"économie_domestique", "ingrédient", "éparco", "ail", "ail"
"économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre frais"
"économie_domestique", "ingrédient", "éparco", "cannelle", "cannelle"
"économie_domestique", "ingrédient", "éparco", "capucine", "capucines"
"économie_domestique", "ingrédient", "éparco", "cerfeuil", "cerfeuil"
"économie_domestique", "ingrédient", "éparco", "ciboule", "ciboule"
"économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"économie_domestique", "mets", "", "alimentation", "cuisine"
"économie_domestique", "ingrédient", "éparco", "câpre", "câpres"
"économie_domestique", "ingrédient", "éparco", "estragon", "estragon"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "fourneau", "fourneau"
"économie_domestique", "ingrédient", "éparco", "girolfle", "girofle"
"économie_domestique", "ingrédient", "carné", "viande", "jus"
"économie_domestique", "ustensile", "", "casserole", "la casserole"
"économie_domestique", "ingrédient", "laitier", "lait", "lait"
"économie_domestique", "ingrédient", "laitier", "lait", "lait"
"économie_domestique", "ingrédient", "laitier", "lait", "lait"
"économie_domestique", "ingrédient", "carné", "lard", "lard"
"économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"économie_domestique", "ingrédient", "éparco", "laurier", "laurier"
"économie_domestique", "mets", "", "met", "mets"
"économie_domestique", "mets", "", "met", "mets"
"économie_domestique", "mets", "", "met", "mets"
"économie_domestique", "ingrédient", "carné", "viande", "morceau la viande"
"économie_domestique", "ingrédient", "éparco", "muscade", "muscade"
"économie_domestique", "ingrédient", "éparco", "oignon", "oignon"
"économie_domestique", "ingrédient", "éparco", "persil", "persil"
"économie_domestique", "ingrédient", "éparco", "piment", "piment"
"économie_domestique", "ingrédient", "éparco", "poivre", "poivre"
"économie_domestique", "mets", "", "ragoût", "ragoûts"
"économie_domestique", "ingrédient", "éparco", "serpolet", "serpolet"
"économie_domestique", "ingrédient", "éparco", "thym", "thym"
"économie_domestique", "ingrédient", "éparco", "thym", "thym"
"économie_domestique", "ingrédient", "éparco", "vanille", "vanille"
"économie_domestique", "ustensile", "", "vase", "vase"
"économie_domestique", "ustensile", "", "vase", "vase"
"économie_domestique", "ingrédient", "carné", "viande", "viande"
"économie_domestique", "ingrédient", "carné", "viande", "viande"
"économie_domestique", "ingrédient", "carné", "viande", "viandes"
"économie_domestique", "ingrédient", "éparco", "échalote", "échalote"
"économie_domestique", "ingrédient", "éparco", "épice", "épices"
"économie_domestique", "ingrédient", "éparco", "épice", "épices"
"sciences_naturelles", "produit", "végétal", "chou", "choux"
"sciences_naturelles", "", "", "", "miel"
"sciences_naturelles", "", "", "", "navets"
"sciences_naturelles", "", "", "", "radis"
